Date,Steps
2025-06-07,853
2025-06-08,3654
2025-06-09,6650
2025-06-10,1396
2025-06-11,1919
2025-06-12,2490
2025-06-13,4434
2025-06-14,2797
2025-06-15,4800
2025-06-16,1335
2025-06-17,3972
2025-06-18,2304
2025-06-19,4140
2025-06-20,368
2025-06-21,679
2025-06-22,4196
2025-06-23,5651
2025-06-24,4338
2025-06-25,2059
2025-06-26,1614
2025-06-27,874
2025-06-28,2187
2025-06-29,2027
2025-06-30,5263
2025-07-01,6565
2025-07-02,1589
2025-07-03,5020
2025-07-04,6521
2025-07-05,1562
2025-07-06,1770
